"iteration","accuracy"
1,36
2,53.33
3,64.67
4,64.67
5,64.67
6,64.67
7,64.67
8,64.67
9,64.67
10,85.33
11,85.33
12,85.33
13,85.33
14,85.33
15,85.33
16,85.33
17,85.33
18,85.33
19,85.33
20,85.33
21,85.33
22,85.33
23,85.33
24,85.33
25,85.33
26,85.33
27,85.33
28,85.33
29,85.33
30,85.33
31,85.33
32,85.33
33,85.33
34,85.33
35,85.33
36,85.33
37,85.33
38,85.33
39,85.33
40,85.33
41,85.33
42,85.33
43,85.33
44,85.33
45,85.33
46,85.33
47,85.33
48,85.33
49,85.33
50,85.33
51,85.33
52,85.33
53,85.33
54,85.33
55,85.33
56,85.33
57,85.33
58,85.33
59,85.33
60,85.33
61,85.33
62,85.33
63,85.33
64,85.33
65,85.33
66,85.33
67,85.33
68,85.33
69,85.33
70,85.33
71,85.33
72,85.33
73,85.33
74,85.33
75,85.33
76,85.33
77,85.33
78,85.33
79,85.33
80,85.33
81,85.33
82,85.33
83,85.33
84,85.33
85,85.33
86,85.33
87,85.33
88,85.33
89,85.33
90,85.33
91,85.33
92,85.33
93,85.33
94,85.33
95,85.33
96,85.33
97,85.33
98,85.33
99,85.33
100,85.33
101,85.33
102,85.33
103,85.33
104,85.33
105,85.33
106,85.33
107,85.33
108,85.33
109,85.33
110,85.33
111,85.33
112,85.33
113,85.33
114,85.33
115,85.33
116,85.33
117,85.33
118,85.33
119,85.33
120,85.33
121,85.33
122,85.33
123,85.33
124,85.33
125,85.33
126,85.33
127,85.33
128,85.33
129,85.33
130,85.33
131,85.33
132,85.33
133,85.33
134,85.33
135,85.33
136,85.33
137,85.33
138,85.33
139,85.33
140,85.33
141,85.33
142,85.33
143,85.33
144,85.33
145,85.33
146,85.33
147,85.33
148,85.33
149,85.33
150,85.33
151,85.33
152,85.33
153,85.33
154,85.33
155,85.33
156,85.33
157,85.33
158,85.33
159,85.33
160,85.33
161,85.33
162,85.33
163,85.33
164,85.33
165,85.33
166,85.33
167,85.33
168,85.33
169,85.33
170,85.33
171,85.33
172,85.33
173,85.33
174,85.33
175,85.33
176,85.33
177,85.33
178,85.33
179,85.33
180,85.33
181,85.33
182,85.33
183,85.33
184,85.33
185,85.33
186,85.33
187,85.33
188,85.33
189,85.33
190,85.33
191,85.33
192,85.33
193,85.33
194,85.33
195,85.33
196,85.33
197,85.33
198,85.33
199,85.33
200,85.33
201,85.33
202,85.33
203,85.33
204,85.33
205,85.33
206,85.33
207,85.33
208,85.33
209,85.33
210,85.33
211,85.33
212,85.33
213,85.33
214,85.33
215,85.33
216,85.33
217,85.33
218,85.33
219,85.33
220,85.33
221,85.33
222,85.33
223,85.33
224,85.33
225,85.33
226,85.33
227,85.33
228,85.33
229,85.33
230,85.33
231,85.33
232,85.33
233,85.33
234,85.33
235,85.33
236,85.33
237,85.33
238,85.33
239,85.33
240,85.33
241,85.33
242,85.33
243,85.33
244,85.33
245,85.33
246,85.33
247,85.33
248,85.33
249,85.33
250,85.33
251,85.33
252,85.33
253,85.33
254,85.33
255,85.33
256,85.33
257,85.33
258,85.33
259,85.33
260,85.33
261,85.33
262,85.33
263,85.33
264,85.33
265,85.33
266,85.33
267,85.33
268,85.33
269,85.33
270,85.33
271,85.33
272,85.33
273,85.33
274,85.33
275,85.33
276,85.33
277,85.33
278,85.33
279,85.33
280,85.33
281,85.33
282,85.33
283,85.33
284,85.33
285,85.33
286,85.33
287,85.33
288,85.33
289,85.33
290,85.33
291,85.33
292,85.33
293,85.33
294,85.33
295,85.33
296,85.33
297,85.33
298,85.33
299,85.33
300,85.33
301,85.33
302,85.33
303,85.33
304,85.33
305,85.33
306,85.33
307,85.33
308,85.33
309,85.33
310,85.33
311,85.33
312,85.33
313,85.33
314,85.33
315,85.33
316,85.33
317,85.33
318,85.33
319,85.33
320,85.33
321,85.33
322,85.33
323,85.33
324,85.33
325,85.33
326,85.33
327,85.33
328,85.33
329,85.33
330,85.33
331,85.33
332,85.33
333,85.33
334,85.33
335,85.33
336,85.33
337,85.33
338,85.33
339,85.33
340,85.33
341,85.33
342,85.33
343,85.33
344,85.33
345,85.33
346,85.33
347,85.33
348,85.33
349,85.33
350,85.33
351,85.33
352,85.33
353,85.33
354,85.33
355,85.33
356,85.33
357,85.33
358,85.33
359,85.33
360,85.33
361,85.33
362,85.33
363,85.33
